emis_sectors,MCM_HCHO,CRACMM1_HCHO,CRACMM2_HCHO
biogenics,6.81066228009714,1.18347214035623,7.0909546313667
ptwildfire,1.15313582712227,1.04837557528997,1.11463388943715
ptrxfire,1.06878118107588,0.906377676979299,0.968724731326911
vcp,0.978413630128911,0.587358090057037,0.751368515256512
onroad_gasoline,0.886490829193232,0.650278276504795,0.664294429514474
nonroad_gasoline,0.792459313683781,0.558766967055739,0.585864479538473
ptnonipm,0.699336269061221,0.360639159518884,0.52916599030366
nonpt,0.537101357763214,0.422813352279931,0.436381940968864
rwc,0.41552401049603,0.47321676002089,0.476341176460044
np_oilgas,0.215901290271181,0.31704988123485,0.317282959107501
onroad_diesel,0.210343720458138,0.203689855611509,0.205922839516966
ptfire_grass,0.175631717473398,0.189177342136382,0.199206895778562
asphalt,0.142688247526248,0.132502585523078,0.132419177903951
nonroad_diesel,0.122009927731691,0.144202608144435,0.145489718314969
ag,0.0983440860471167,0.0523725356760465,0.0591759187214479
aircraft,0.0865988321281514,0.0820427191051547,0.08306304777142
pt_oilgas,0.0795886374323212,0.0658699015348004,0.0661998276491685
ptagfire,0.0689323642104251,0.0746090222636912,0.0761835326952656
ptegu,0.0300424357793653,0.0184075821783536,0.0189520406311615
cooking,0.0262627524775072,0.0289772224965516,0.0296619215758515
cmv,0.0171697449125125,0.0179475412456727,0.0182058063257806
